SN,Price
Adairialis76,2.28
Adastirin33,4.48
Aeda94,4.91
Aela59,4.32
Aelaria33,1.79
Aelastirin39,7.289999999999999
Aelidru27,1.09
Aelin32,8.98
Aelly27,6.789999999999999
Aellynun67,3.74
Aellyria80,3.08
Aelollo59,5.630000000000001
Aenarap34,2.96
Aeral43,4.4
Aeral68,4.0
Aeral97,4.8
Aeralria27,4.09
Aeralstical35,2.96
Aeri84,1.61
Aerillorin70,3.33
Aerithllora36,8.64
Aerithnucal56,4.4
Aerithnuphos61,4.91
Aerithriaphos45,1.56
Aerithriaphos46,2.18
Aesri53,1.76
Aesty53,3.91
Aestysu37,5.38
Aesur96,2.21
Aesurstilis64,1.03
Aethedru70,3.54
Aidai53,4.6
Aidai61,1.01
Aidai73,3.08
Aidaillodeu39,7.859999999999999
Aidain51,3.45
Aidaira26,4.23
Aiduecal76,7.58
Aiduesu86,4.48
Aillyriadru65,1.1
Aillyrin83,2.89
Aina42,9.219999999999999
Aina43,3.09
Airi27,3.45
Aisur51,1.14
Aisurdru79,3.51
Aisurria69,1.79
Aithelis62,6.78
Alaephos75,4.84
Alaesu77,2.49
Alaesu91,3.45
Alarap40,3.27
Ali84,4.31
Alim85,2.5
Alo38,1.0
Anallorgue57,5.7
Ardcil81,5.58
Ardonmol96,1.55
Arin32,9.09
Arirgue63,1.7
Assassa81,3.39
Assassasta79,6.63
Assastnya25,4.48
Assehoan67,1.75
Assesi91,1.54
Assilsan72,4.9
Assim27,1.7
Assirra56,3.19
Assistasda42,5.92
Assistasda90,4.35
Assjaskan56,2.96
Assjaskan73,1.7
Assosia88,1.33
Assylla81,4.18
Asty82,3.09
Asur53,7.4399999999999995
Asur96,4.74
Baelollodeu94,9.03
Bartassaya73,6.12
Caesrinusuir82,5.18
Ceoral34,4.58
Chadadarla74,6.03
Chadilsasta32,4.29
Chadirra90,2.05
Chadista79,8.35
Chadistaya75,3.94
Chadjask77,4.93
Chadjask85,3.87
Chadolyla44,11.46
Chadossa56,1.98
Chadossa89,3.19
Chamadar79,3.14
Chamadarnya73,3.07
Chamadarsda63,3.92
Chamalo71,4.64
Chamassasya86,3.27
Chamast86,2.05
Chamastya76,2.05
Chamilsala65,8.55
Chamiman85,4.4
Chamimla73,4.8
Chamimla85,6.300000000000001
Chamirra53,5.36
Chamirrasya33,3.05
Chamirraya83,2.22
Chamistast30,3.58
Chamjask73,13.83
Chamjaskya75,2.84
Chamossa77,1.77
Chanadar44,3.19
Chanastnya43,8.82
Chanastsda67,3.7
Chanastst38,6.58
Chanastya70,3.58
Chanilsasda38,2.52
Chanilsast61,2.08
Chanirra64,1.54
Chanirra79,1.01
Chanirrala39,6.15
Chanirrasta87,4.94
Chanista95,3.16
Chanjask65,4.32
Chanjaskan89,5.17
Chanosia34,2.96
Chanosia60,5.42
Chanosian48,7.52
Chanosiaya39,1.97
Chanossanya44,6.28
Chanossast57,4.32
Chanuchi25,3.97
Cosadar58,4.35
Dyally87,4.99
